#Organism/Name,Strain,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Helicobacter pylori","ZH77",SAMN10338998,PRJNA498944,"Proteobacteria","delta/epsilon subdivisions",GCA_004013405.1,1.5996,38.9,-,RJGT01,47,1565,1416,2019/01/11,2019/01/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/013/405/GCF_004013405.1_ASM401340v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/013/405/GCA_004013405.1_ASM401340v1
"Helicobacter pylori","ZH66",SAMN10338986,PRJNA498932,"Proteobacteria","delta/epsilon subdivisions",GCA_004013065.1,1.61289,38.9,-,RJGL01,42,1591,1466,2019/01/11,2019/01/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/013/065/GCF_004013065.1_ASM401306v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/013/065/GCA_004013065.1_ASM401306v1
"Helicobacter pylori","B344",SAMN08999404,PRJNA449871,"Proteobacteria","delta/epsilon subdivisions",GCA_003640095.1,1.54836,39.1,-,QEHD01,24,1552,1402,2018/10/12,2019/08/20,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/640/095/GCF_003640095.1_ASM364009v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/640/095/GCA_003640095.1_ASM364009v1
"Helicobacter pylori","ZH1111",SAMN10340296,PRJNA498997,"Proteobacteria","delta/epsilon subdivisions",GCA_004014175.1,1.6242,38.9,-,RJHX01,63,1582,1428,2019/01/11,2019/01/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/014/175/GCF_004014175.1_ASM401417v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/014/175/GCA_004014175.1_ASM401417v1
"Helicobacter pylori","KH0022",SAMN12011802,PRJNA547954,"Proteobacteria","delta/epsilon subdivisions",GCA_006439955.1,1.62224,38.7,-,VEZO01,43,1611,1445,2019/06/24,2019/06/28,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/439/955/GCF_006439955.1_ASM643995v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/439/955/GCA_006439955.1_ASM643995v1
"Helicobacter pylori","HP13007",SAMN06329511,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003637405.1,1.60682,38.9,-,MVWE01,36,1592,1443,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/637/405/GCF_003637405.1_ASM363740v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/637/405/GCA_003637405.1_ASM363740v1
"Helicobacter pylori","HP12077",SAMN06329508,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003637465.1,1.5989,39,-,MVWH01,27,1583,1443,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/637/465/GCF_003637465.1_ASM363746v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/637/465/GCA_003637465.1_ASM363746v1
"Helicobacter pylori","B497A",SAMN08999413,PRJNA449871,"Proteobacteria","delta/epsilon subdivisions",GCA_003640045.1,1.61084,39,-,QEGU01,33,1615,1472,2018/10/12,2019/08/20,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/640/045/GCF_003640045.1_ASM364004v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/640/045/GCA_003640045.1_ASM364004v1
"Helicobacter pylori","KH28",SAMN08093268,PRJNA419585,"Proteobacteria","delta/epsilon subdivisions",GCA_002831925.1,1.67999,38.7,-,PHLX01,30,1664,1501,2017/12/11,2017/12/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/831/925/GCF_002831925.1_ASM283192v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/831/925/GCA_002831925.1_ASM283192v1
"Helicobacter pylori","KH25",SAMN08093265,PRJNA419585,"Proteobacteria","delta/epsilon subdivisions",GCA_002831955.1,1.6258,38.9,-,PHMA01,37,1626,1447,2017/12/11,2017/12/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/831/955/GCF_002831955.1_ASM283195v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/831/955/GCA_002831955.1_ASM283195v1
"Helicobacter pylori","ZH12",SAMN10335710,PRJNA498820,"Proteobacteria","delta/epsilon subdivisions",GCA_004012255.1,1.6426,38.8,-,RJEL01,48,1620,1471,2019/01/11,2019/01/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/012/255/GCF_004012255.1_ASM401225v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/012/255/GCA_004012255.1_ASM401225v1
"Helicobacter pylori","HP15025",SAMN06329559,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003636615.1,1.68423,38.7,-,MVUI01,38,1663,1525,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/636/615/GCF_003636615.1_ASM363661v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/636/615/GCA_003636615.1_ASM363661v1
"Helicobacter pylori","KH0045",SAMN12011809,PRJNA547954,"Proteobacteria","delta/epsilon subdivisions",GCA_006440215.1,1.70746,38.7,-,VEZH01,47,1684,1513,2019/06/24,2019/06/28,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/440/215/GCF_006440215.1_ASM644021v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/440/215/GCA_006440215.1_ASM644021v1
"Helicobacter pylori","ZH5",SAMN10339054,PRJNA498971,"Proteobacteria","delta/epsilon subdivisions",GCA_004013925.1,1.61439,39,-,RJHI01,40,1563,1413,2019/01/11,2019/01/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/013/925/GCF_004013925.1_ASM401392v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/013/925/GCA_004013925.1_ASM401392v1
"Helicobacter pylori","HP12054",SAMN06329500,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003637625.1,1.58045,38.7,-,MVWP01,32,1545,1401,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/637/625/GCF_003637625.1_ASM363762v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/637/625/GCA_003637625.1_ASM363762v1
"Helicobacter pylori","ZH127",SAMN10341929,PRJNA499063,"Proteobacteria","delta/epsilon subdivisions",GCA_004014595.1,1.66722,39.1,-,RJIM01,42,1630,1478,2019/01/11,2019/01/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/014/595/GCF_004014595.1_ASM401459v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/014/595/GCA_004014595.1_ASM401459v1
"Helicobacter pylori","HP04057",SAMN06329463,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003638225.1,1.58214,39,-,MVYA01,34,1563,1423,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/638/225/GCF_003638225.1_ASM363822v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/638/225/GCA_003638225.1_ASM363822v1
"Helicobacter pylori","HP14050",SAMN06329540,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003636825.1,1.58334,39.1,-,MVVB01,32,1576,1430,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/636/825/GCF_003636825.1_ASM363682v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/636/825/GCA_003636825.1_ASM363682v1
"Helicobacter pylori","HP13029",SAMN06329523,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003637165.1,1.56469,39.1,-,MVVS01,30,1542,1398,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/637/165/GCF_003637165.1_ASM363716v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/637/165/GCA_003637165.1_ASM363716v1
"Helicobacter pylori","HP08072",SAMN06329476,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003637825.1,1.62999,39.2,-,MVXN01,30,1609,1456,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/637/825/GCF_003637825.1_ASM363782v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/637/825/GCA_003637825.1_ASM363782v1
"Helicobacter pylori SA164A","SA164A",SAMEA2272266,PRJEB4079,"Proteobacteria","delta/epsilon subdivisions",GCA_000477115.1,1.61675,38.8,-,CBQK01,36,1588,1354,2013/09/21,2019/04/02,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/477/115/GCF_000477115.1_SA164A,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/477/115/GCA_000477115.1_SA164A
"Helicobacter pylori","Zh38",SAMN10335780,PRJNA498848,"Proteobacteria","delta/epsilon subdivisions",GCA_004012765.1,1.56026,39,-,RJFL01,40,1535,1378,2019/01/11,2019/01/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/012/765/GCF_004012765.1_ASM401276v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/012/765/GCA_004012765.1_ASM401276v1
"Helicobacter pylori","HP13028",SAMN06329522,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003637175.1,1.6499,38.8,-,MVVT01,38,1640,1462,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/637/175/GCF_003637175.1_ASM363717v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/637/175/GCA_003637175.1_ASM363717v1
"Helicobacter pylori","HP11020",SAMN06329484,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003638115.1,1.61552,38.9,-,MVXF01,44,1613,1454,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/638/115/GCF_003638115.1_ASM363811v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/638/115/GCA_003638115.1_ASM363811v1
"Helicobacter pylori","HP08073",SAMN06329477,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003637805.1,1.61431,39,-,MVXM01,35,1599,1457,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/637/805/GCF_003637805.1_ASM363780v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/637/805/GCA_003637805.1_ASM363780v1
"Helicobacter pylori","SV397_2",SAMN06251160,PRJNA360417,"Proteobacteria","delta/epsilon subdivisions",GCA_001998205.1,1.66137,39.1,-,MTWS01,47,1639,1477,2017/02/13,2019/07/30,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/205/GCF_001998205.1_ASM199820v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/998/205/GCA_001998205.1_ASM199820v1
"Helicobacter pylori","HP00260",SAMN06329448,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003638305.1,1.5972,39,-,MVYP01,37,1565,1419,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/638/305/GCF_003638305.1_ASM363830v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/638/305/GCA_003638305.1_ASM363830v1
"Helicobacter pylori","ZH108",SAMN10339337,PRJNA498987,"Proteobacteria","delta/epsilon subdivisions",GCA_004014095.1,1.6231,38.8,-,RJHU01,42,1588,1460,2019/01/11,2019/01/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/014/095/GCF_004014095.1_ASM401409v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/014/095/GCA_004014095.1_ASM401409v1
"Helicobacter pylori SA252C","SA252C",SAMEA2272620,PRJEB4126,"Proteobacteria","delta/epsilon subdivisions",GCA_000476495.1,1.65283,39,-,CBOV01,54,1641,1289,2013/09/21,2019/10/09,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/476/495/GCF_000476495.1_SA252C,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/476/495/GCA_000476495.1_SA252C
"Helicobacter pylori UM084","UM084",SAMN02230273,PRJNA212351,"Proteobacteria","delta/epsilon subdivisions",GCA_000444385.1,1.65683,39.1,-,AUSO01,34,1614,1444,2013/08/06,2017/03/24,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/444/385/GCF_000444385.1_UM084,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/444/385/GCA_000444385.1_UM084
"Helicobacter pylori SA37A","SA37A",SAMEA2272170,PRJEB4049,"Proteobacteria","delta/epsilon subdivisions",GCA_000476015.1,1.60049,38.9,-,CBOO01,46,1595,1443,2013/09/21,2017/03/24,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/476/015/GCF_000476015.1_SA37A,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/476/015/GCA_000476015.1_SA37A
"Helicobacter pylori","22347",SAMN05408004,PRJNA329274,"Proteobacteria","delta/epsilon subdivisions",GCA_002532675.1,1.65223,38.9,-,MBJZ01,34,1644,1478,2017/10/12,2019/07/30,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/532/675/GCF_002532675.1_ASM253267v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/532/675/GCA_002532675.1_ASM253267v1
"Helicobacter pylori","KH0126",SAMN12011828,PRJNA547954,"Proteobacteria","delta/epsilon subdivisions",GCA_006439915.1,1.64616,38.7,-,VEYO01,49,1645,1466,2019/06/24,2019/06/28,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/439/915/GCF_006439915.1_ASM643991v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/439/915/GCA_006439915.1_ASM643991v1
"Helicobacter pylori","HP13054",SAMN06329527,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003637065.1,1.57826,39,-,MVVO01,29,1569,1426,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/637/065/GCF_003637065.1_ASM363706v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/637/065/GCA_003637065.1_ASM363706v1
"Helicobacter pylori","ZH72",SAMN10338992,PRJNA498938,"Proteobacteria","delta/epsilon subdivisions",GCA_004013075.1,1.6057,38.9,-,RJGQ01,40,1580,1433,2019/01/11,2019/01/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/013/075/GCF_004013075.1_ASM401307v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/013/075/GCA_004013075.1_ASM401307v1
"Helicobacter pylori","KH22",SAMN08093263,PRJNA419585,"Proteobacteria","delta/epsilon subdivisions",GCA_002832395.1,1.59293,39.1,-,PHMC01,40,1585,1409,2017/12/11,2017/12/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/832/395/GCF_002832395.1_ASM283239v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/832/395/GCA_002832395.1_ASM283239v1
"Helicobacter pylori","HP14054",SAMN06329543,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003636765.1,1.58108,38.9,-,MVUY01,28,1561,1410,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/636/765/GCF_003636765.1_ASM363676v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/636/765/GCA_003636765.1_ASM363676v1
"Helicobacter pylori","PIMM-FM-UNAM-30Ca+5",SAMN10715382,PRJNA513874,"Proteobacteria","delta/epsilon subdivisions",GCA_008681415.1,1.62895,39.1,-,SBAB01,6,1584,1442,2019/09/23,2019/09/27,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/681/415/GCF_008681415.1_ASM868141v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/681/415/GCA_008681415.1_ASM868141v1
"Helicobacter pylori","HP98123",SAMN06329583,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003636395.1,1.63433,38.8,-,MVTK01,42,1621,1465,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/636/395/GCF_003636395.1_ASM363639v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/636/395/GCA_003636395.1_ASM363639v1
"Helicobacter pylori","HP12053",SAMN06329499,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003637635.1,1.61554,38.9,-,MVWQ01,32,1613,1455,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/637/635/GCF_003637635.1_ASM363763v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/637/635/GCA_003637635.1_ASM363763v1
"Helicobacter pylori","KH8",SAMN08093249,PRJNA419585,"Proteobacteria","delta/epsilon subdivisions",GCA_002832575.1,1.64399,38.8,-,PHMQ01,36,1627,1453,2017/12/11,2017/12/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/832/575/GCF_002832575.1_ASM283257v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/832/575/GCA_002832575.1_ASM283257v1
"Helicobacter pylori","UM400AS",SAMN04158749,PRJNA298387,"Proteobacteria","delta/epsilon subdivisions",GCA_001484185.2,1.61665,39,-,LLVY02,26,1592,1446,2016/01/04,2019/07/30,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/484/185/GCF_001484185.2_ASM148418v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/185/GCA_001484185.2_ASM148418v2
"Helicobacter pylori","UM400b",SAMN05954258,PRJNA351759,"Proteobacteria","delta/epsilon subdivisions",GCA_001976105.1,1.61903,39,-,MOEF01,28,1593,1447,2017/01/31,2019/07/30,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/976/105/GCF_001976105.1_ASM197610v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/976/105/GCA_001976105.1_ASM197610v1
"Helicobacter pylori","HP14023",SAMN06329535,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003636925.1,1.6499,39,-,MVVG01,29,1614,1458,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/636/925/GCF_003636925.1_ASM363692v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/636/925/GCA_003636925.1_ASM363692v1
"Helicobacter pylori","HPJ118",SAMN06329616,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003636215.1,1.6469,38.8,-,MVSD01,42,1629,1468,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/636/215/GCF_003636215.1_ASM363621v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/636/215/GCA_003636215.1_ASM363621v1
"Helicobacter pylori","448",SAMN08381248,PRJNA395900,"Proteobacteria","delta/epsilon subdivisions",GCA_003058805.1,1.6334,38.9,-,QBQD01,51,1627,1471,2018/04/22,2019/08/11,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/058/805/GCF_003058805.1_ASM305880v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/058/805/GCA_003058805.1_ASM305880v1
"Helicobacter pylori","ZH47",SAMN10335789,PRJNA498857,"Proteobacteria","delta/epsilon subdivisions",GCA_004012955.1,1.57602,38.9,-,RJFT01,41,1557,1420,2019/01/11,2019/01/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/012/955/GCF_004012955.1_ASM401295v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/012/955/GCA_004012955.1_ASM401295v1
"Helicobacter pylori","ZH05",SAMN10334313,PRJNA498772,"Proteobacteria","delta/epsilon subdivisions",GCA_004012435.1,1.62079,38.9,-,RJED01,44,1614,1465,2019/01/11,2019/01/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/012/435/GCF_004012435.1_ASM401243v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/012/435/GCA_004012435.1_ASM401243v1
"Helicobacter pylori","22311",SAMN05408385,PRJNA329302,"Proteobacteria","delta/epsilon subdivisions",GCA_002533755.1,1.65282,38.9,-,MBGU01,58,1647,1498,2017/10/13,2019/07/30,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/533/755/GCF_002533755.1_ASM253375v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/533/755/GCA_002533755.1_ASM253375v1
"Helicobacter pylori SA161C","SA161C",SAMEA2272066,PRJEB4074,"Proteobacteria","delta/epsilon subdivisions",GCA_000475575.1,1.68914,39,-,CBNM01,62,1658,1479,2013/09/21,2017/03/24,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/475/575/GCF_000475575.1_SA161C,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/475/575/GCA_000475575.1_SA161C
"Helicobacter pylori","B345",SAMN08999405,PRJNA449871,"Proteobacteria","delta/epsilon subdivisions",GCA_003639905.1,1.63882,38.9,-,QEHC01,46,1642,1468,2018/10/12,2019/08/20,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/639/905/GCF_003639905.1_ASM363990v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/639/905/GCA_003639905.1_ASM363990v1
"Helicobacter pylori","ZH97",SAMN10339068,PRJNA498973,"Proteobacteria","delta/epsilon subdivisions",GCA_004013905.1,1.64946,38.8,-,RJHK01,51,1630,1485,2019/01/11,2019/01/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/013/905/GCF_004013905.1_ASM401390v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/013/905/GCA_004013905.1_ASM401390v1
"Helicobacter pylori","KH33",SAMN08093273,PRJNA419585,"Proteobacteria","delta/epsilon subdivisions",GCA_002832255.1,1.61412,38.9,-,PHLS01,34,1585,1432,2017/12/11,2017/12/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/832/255/GCF_002832255.1_ASM283225v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/832/255/GCA_002832255.1_ASM283225v1
"Helicobacter pylori","UM303R",SAMN04158748,PRJNA298385,"Proteobacteria","delta/epsilon subdivisions",GCA_001542465.2,1.58983,38.7,-,LQNB02,30,1585,1426,2016/01/28,2019/07/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/542/465/GCF_001542465.2_ASM154246v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/542/465/GCA_001542465.2_ASM154246v2
"Helicobacter pylori SA300C","SA300C",SAMEA2272093,PRJEB4130,"Proteobacteria","delta/epsilon subdivisions",GCA_000476755.1,1.61735,39.1,-,CBPL01,36,1584,1430,2013/09/21,2017/03/24,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/476/755/GCF_000476755.1_SA300C,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/476/755/GCA_000476755.1_SA300C
"Helicobacter pylori","HP99316",SAMN06329590,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003636335.1,1.66079,38.8,-,MVTD01,46,1669,1506,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/636/335/GCF_003636335.1_ASM363633v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/636/335/GCA_003636335.1_ASM363633v1
"Helicobacter pylori","HP04041",SAMN06329461,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003638525.1,1.67473,38.7,-,MVYC01,39,1666,1506,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/638/525/GCF_003638525.1_ASM363852v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/638/525/GCA_003638525.1_ASM363852v1
"Helicobacter pylori","B679",SAMN08999418,PRJNA449871,"Proteobacteria","delta/epsilon subdivisions",GCA_003639745.1,1.66015,38.9,-,QEGP01,52,1659,1517,2018/10/12,2019/08/20,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/639/745/GCF_003639745.1_ASM363974v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/639/745/GCA_003639745.1_ASM363974v1
"Helicobacter pylori","ZH107",SAMN10339333,PRJNA498986,"Proteobacteria","delta/epsilon subdivisions",GCA_004014075.1,1.61265,38.8,-,RJHT01,45,1612,1469,2019/01/11,2019/01/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/014/075/GCF_004014075.1_ASM401407v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/014/075/GCA_004014075.1_ASM401407v1
"Helicobacter pylori","UM276R",SAMN04076428,PRJNA295617,"Proteobacteria","delta/epsilon subdivisions",GCA_001446395.2,1.62667,38.6,-,LJXK02,28,1620,1449,2015/11/19,2019/07/30,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/446/395/GCF_001446395.2_ASM144639v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/446/395/GCA_001446395.2_ASM144639v2
"Helicobacter pylori","KH19",SAMN08093260,PRJNA419585,"Proteobacteria","delta/epsilon subdivisions",GCA_002832405.1,1.65647,38.8,-,PHMF01,39,1639,1472,2017/12/11,2017/12/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/832/405/GCF_002832405.1_ASM283240v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/832/405/GCA_002832405.1_ASM283240v1
"Helicobacter pylori","H30",SAMN05806843,PRJNA342930,"Proteobacteria","delta/epsilon subdivisions",GCA_001940085.1,1.6041,38.7,-,MJNA01,25,1591,1446,2017/01/09,2019/07/30,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/940/085/GCF_001940085.1_ASM194008v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/940/085/GCA_001940085.1_ASM194008v1
"Helicobacter pylori","HP13021",SAMN06329516,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003637295.1,1.57799,39,-,MVVZ01,34,1576,1419,2018/10/12,2018/10/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/637/295/GCF_003637295.1_ASM363729v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/637/295/GCA_003637295.1_ASM363729v1
